"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"1","A","34415","10-04-1982","Bengali","Quarterly","SATARUPA SANYAL","SATARUPA SANYAL","West Bengal","Kolkata","View        registration details for A (34415)"
"2","A & D","MAHENG/2010/34602","03-12-2010","English","Bimonthly (Once in two months)","DHIRAJ BHALERAO","PUBLISH INDUSTRY INDIA PVT. LTD.","Maharashtra","Pune","View        registration details for A & D (MAHENG/2010/34602)"
"3","A &S INDIA","MAHENG/2014/63969","01-09-2015","English","Monthly","MANISH MOHAN SINGH GANDHI","OIL ASIA PUBLICATION PVT LTD","Maharashtra","Mumbai Suburban","View        registration details for A &S INDIA (MAHENG/2014/63969)"
"4","A AND V PUB INTERNATIONAL JOURNAL OF NURSING AND MEDICAL RESEARCH","CHHENG/2022/83874","24-04-2023","English","Quarterly","MONIKA SANJAY DAHARWAL","A AND V PUBLICATIONS","Chhattisgarh","Raipur","View        registration details for A AND V PUB INTERNATIONAL JOURNAL OF NURSING AND MEDICAL RESEARCH (CHHENG/2022/83874)"
"5","A D NEWS","70043","08-08-1996","Gujarati","Weekly","JAYESH V. JADAV","JAYESH V. JADAV","Gujarat","Surendranagar","View        registration details for A D NEWS (70043)"
"6","A L C NAVBHARAT UJALA NEWS","UPHIN/25/A4493","01-12-2025","Hindi","Weekly","ASHISH SHANKER PANDEY","AANANDMY LIFE CARE CORPORATION PRIVATE LIMITED","Uttar Pradesh","Moradabad","View        registration details for A L C NAVBHARAT UJALA NEWS (UPHIN/25/A4493)"
"7","A MIRROR OF FINANCIAL INSTITUTIONS & BANKS IN ODISHA","ODIENG/2012/47852","05-02-2013","English","Annual","RASHMITA MOHAPATRA","VIGYANPAN","Odisha","Khordha","View        registration details for A MIRROR OF FINANCIAL INSTITUTIONS & BANKS IN ODISHA (ODIENG/2012/47852)"
"8","A NEW CHAPTER","MAHENG/2023/86689","28-03-2024","English","Monthly","DILSHAD ANJUM SIRAJ WAHAB","DILSHAD ANJUM SIRAJ WAHAB","Maharashtra","Chhatrapati Sambhaji Nagar","View        registration details for A NEW CHAPTER (MAHENG/2023/86689)"
"9","A ONE NEWS","MAHMAR/2015/64294","14-10-2015","Marathi","Daily Evening","PRAKASH DAGA SHIRSATH","PRAKASH DAGA SHIRSATH","Maharashtra","Dhule","View        registration details for A ONE NEWS (MAHMAR/2015/64294)"
"10","A One News","TGTEL/25/A4902","08-12-2025","Telugu","Daily","Uduthala Ramesh","Uduthala Ramesh","Telangana","Rangareddy","View        registration details for A One News (TGTEL/25/A4902)"
